acfrs_original_name,census_id,id,year,category,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,has_unconfirmed,name,ratio,ratio_group,state
Phoenix Central School District,NA,36345,2020,School District,76944858,31970242,4135796,0,0,19000000,4073955,2417480,14247464,0,3230885,159447,2161029,0,47067140,4748334,44639282,0,0,0,49387616,FALSE,phoenix central,1.5579787856129763,1 - 5%,New York
Phoenix Elementary School District No.1,NA,30560,2020,School District,137612849,68692423,5044057,136768,0,0,60922811,0,0,0,2816790,1151016,19830365,686109,66123142,-3946266,91736898,0,0,0,87790632,FALSE,phoenix elementaryno,1.5675117705041695,1 - 5%,Arizona
Phoenix School,NA,86642,2020,School District,13204720,0,166510,0,0,0,1303821,0,0,0,0,0,163309,0,1610448,-247242,2020999,0,0,0,1773757,FALSE,phoenix school,7.444492114759801,5 - 10%,Oregon
Phoenix Union High School District No. 210,NA,30561,2020,School District,821668690,479989716,33473643,6118856,0,0,247337767,0,32514296,471904,22234412,2798391,62216174,99413,352136394,57466915,359783457,0,0,0,417250372,FALSE,phoenix union highno,1.969246153242495,1 - 5%,Arizona
Phoenixville Area School District,NA,37935,2020,School District,282680036,138463899,11951468,0,0,0,121634781,0,8930655,0,1699233,837551,12612041,572406,81368566,1738562,93652002,0,0,0,95390564,FALSE,phoenixville area,2.963396211809797,1 - 5%,Pennsylvania
Picayune School District,NA,35064,2020,School District,66122241,5039000,391816,0,0,0,56471817,0,4003813,0,215795,406055,9204123,0,27003628,-3179095,39792901,0,0,0,36613806,FALSE,picayune,1.8059373832919745,1 - 5%,Mississippi
Pickaway-Ross Career and Technology Center,NA,84110,2020,School District,27252157,316358,1693771,551777,0,0,21525710,0,1403788,1357902,1760753,1786726,6729464,0,13550960,-53407,22120557,0,0,0,22067150,FALSE,pickaway-ross career and technology center,1.2349649592267238,1 - 5%,Ohio
Pickens County Board of Education,NA,30376,2020,School District,47344366,1602198,2122692,0,0,1599074,23647000,0,10336818,0,158585,1680535,20515806,780448,4916027,568112,27324704,0,0,0,27892816,FALSE,pickens,1.6973677379867276,1 - 5%,Alabama
Pickens County Board of Education,NA,196528,2020,School District,87284221,0,6631167,0,0,0,44642775,0,36010279,0,0,847056,29780019,879358,30851722,4124238,58233917,0,0,0,62358155,FALSE,pickens,1.3997242381529729,1 - 5%,Georgia
School District of Pickens County,NA,38361,2020,School District,599956224,244486293,27174194,0,0,0,174805747,0,144382585,0,9107405,3197876,90710655,0,94064533,1961664,186011400,0,0,0,187973064,FALSE,pickens,3.191713808527375,1 - 5%,South Carolina
Pickerington Local School District,NA,37080,2020,School District,265007394,87168648,13644562,2414890,0,0,142753881,0,11320829,8583892,7704584,5919122,15290239,156272,124726172,-9234102,155325907,0,0,0,146091805,FALSE,pickerington local,1.81397850481757,1 - 5%,Ohio
Pickett County Schools,NA,107317,2020,School District,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384801,35419,349382,0,0,0,384801,FALSE,pickett  schools,0, Below 1%,Tennessee
Piedmont City Board of Education,NA,30313,2020,School District,16005953,1501000,1041287,184814,0,0,9544000,0,3734852,0,0,995307,8905638,324535,2467442,1232892,11460030,0,0,0,12692922,FALSE,piedmont city,1.2610140517683792,1 - 5%,Alabama
Piedmont City Unified School District,NA,67701,2020,School District,209579137,149647612,10183429,28620,0,0,41766970,0,7823149,0,129357,0,7979644,0,46886679,1224579,53641744,0,0,0,54866323,FALSE,piedmont city unified,3.8198137863184307,1 - 5%,California
Piedmont School District No. I-022,NA,54242,2020,School District,79566234,16265000,1854156,61447078,0,0,0,0,0,0,0,0,0,0,52322484,6959745,45362739,0,0,0,52322484,FALSE,piedmontno i-,1.5206891553543216,1 - 5%,Oklahoma
Pierce County Board of Education,NA,32617,2020,School District,80967342,19440134,4192086,0,0,0,33749999,0,23280505,0,0,582286,26698083,1876668,16335752,481132,45011657,0,0,0,45492789,FALSE,pierce,1.779784088418936,1 - 5%,Georgia
Pierce Public Schools District No. 2,NA,109423,2020,School District,0,0,0,0,0,0,0,0,0,0,0,632794,748744,0,7673622,107265,8947895,0,0,0,9055160,FALSE,pierce  district no,0, Below 1%,Nebraska
Pierce Joint Unified School District,NA,146501,2020,School District,33972305,15833428,755833,0,1880568,0,15144728,0,0,0,32008,198347,2490785,0,18918061,2888419,18718774,0,0,0,21607193,FALSE,pierce joint unified,1.5722683182401342,1 - 5%,California
Pierre School District No. 32-2,NA,38427,2020,School District,12011868,1360000,2238630,0,0,0,0,74057,0,0,577324,929681,3930517,80000,25254761,1434188,28760771,74095491,96026080,0,170121571,FALSE,pierreno 32-,0.07060755393564994, Below 1%,South Dakota
Piggott School District No. 52,NA,98771,2020,School District,7074,6250000,7074,0,0,0,6053336,0,0,0,0,0,0,0,8724832,612099,8112733,0,0,0,8724832,FALSE,piggottno,8.1078925072712e-4, Below 1%,Arkansas
Pike County Board of Education,NA,33728,2020,School District,196247324,117850000,7850953,768102,0,0,38613665,0,26030671,0,4556548,329892,21628900,0,91523435,1163474,112318753,0,0,0,113482227,FALSE,pike,1.729322107857471,1 - 5%,Kentucky
Pike County Board of Education,NA,196529,2020,School District,66957526,10417114,5215609,1713150,0,0,28078333,0,21463860,0,69372,349633,21630059,1672347,15457046,3526667,35582418,0,0,0,39109085,FALSE,pike,1.7120708909451603,1 - 5%,Georgia
Pike County Board of Education,NA,30377,2020,School District,43235588,0,2012722,0,0,1358623,21968000,0,9156244,0,0,1614063,18296956,902916,6888670,1139110,26563495,0,0,0,27702605,FALSE,pike,1.5607047784856334,1 - 5%,Alabama
Pike County Joint Vocational School District,NA,84118,2020,School District,10890107,0,553155,2106000,0,0,6867535,0,675249,387271,688168,437281,1563718,0,5902478,-87298,7990775,0,0,0,7903477,FALSE,pike  joint vocational,1.3778881117766268,1 - 5%,Ohio
Pike County R-III School District,NA,35290,2020,School District,0,1830000,0,37491,0,0,0,0,0,0,40399,1458033,1171379,59671,4240283,265172,6664194,0,0,0,6929366,FALSE,pike  r-iii,0, Below 1%,Missouri
Pike Road Board of Education,NA,188453,2020,School District,32885937,187448,1569310,2265009,0,9648940,12322000,0,5543252,0,47641,2181346,14131283,715350,4346453,-1220784,22595216,0,0,0,21374432,FALSE,pike road,1.5385642528419001,1 - 5%,Alabama
Pike-Delta-York Local School District,NA,37092,2020,School District,0,7475000,0,180745,0,0,14754382,0,1428667,856907,0,1019328,1983795,0,13742310,-588761,17334194,0,0,0,16745433,FALSE,pike-delta-york local,0, Below 1%,Ohio
Pikeland Community Unit School District 10,NA,33106,2020,School District,3810988,3450000,0,360988,0,0,0,0,0,0,0,0,0,0,19609239,561715,19047524,0,0,0,19609239,FALSE,pikeland community unit,0.19434655266326245, Below 1%,Illinois
Pikes Peak Board of Cooperative Educational Services,NA,46642,2020,School District,16204337,0,1453081,0,0,206912,13755667,0,676275,0,112402,7974216,3531771,0,667784,-4597933,16771704,0,0,0,12173771,FALSE,pikes peak board of cooperative educational services,1.3310860702078262,1 - 5%,Colorado
Pikeville Independent School District,NA,33729,2020,School District,11085857,2785482,354507,361162,0,0,3251587,0,4047416,0,265239,771962,1429943,364687,12940398,-270492,15777482,0,0,0,15506990,FALSE,pikeville,0.7148941864281849, Below 1%,Kentucky
Pilot Point Independent School District,NA,45415,2020,School District,27174896,15463511,1720378,0,0,1000000,3598371,0,5392636,0,0,509979,1670764,0,16569499,892052,17858190,0,0,0,18750242,FALSE,pilot point,1.4493090809174622,1 - 5%,Texas
Pilot Rock School District,NA,87117,2020,School District,7588323,4005000,278704,79714,0,0,2599507,0,625398,0,0,60551,387625,87084,4530556,14955,5050861,0,0,0,5065816,FALSE,pilot rock,1.4979468263355795,1 - 5%,Oregon
Pima County Joint Technical Education District No. 11,NA,223740,2020,School District,19880389,0,1467355,10229034,0,0,8015248,0,0,0,168752,1430343,3047830,133891,22723202,1874022,25461244,0,0,0,27335266,FALSE,pima  joint technical education district no,0.7272798808689113, Below 1%,Arizona
Pinckney Community Schools,NA,161821,2020,School District,167078686,85111980,2935384,788419,6658212,7164949,52299967,0,11048952,0,1070823,1229460,3333066,0,32558418,-415069,37536013,0,0,0,37120944,FALSE,pinckney community schools,4.50092772425184,1 - 5%,Michigan
Pinconning Area Schools,NA,34350,2020,School District,42934528,10883369,1326274,0,0,1000000,24230007,0,5187335,0,264817,175958,3685962,101021,10842542,-797119,15602602,0,0,0,14805483,FALSE,pinconning area schools,2.899907284348643,1 - 5%,Michigan
Pine Bluff School District No.3,NA,98772,2020,School District,1523298,28490000,1523298,221468,0,0,28779972,0,0,0,0,0,0,0,41896342,-480047,42376389,0,0,0,41896342,FALSE,pine bluffno,0.0363587350895694, Below 1%,Arkansas
Pine Bush Central School District,NA,36322,2020,School District,297988577,23868994,8530614,0,0,1235000,6363464,6688975,246205907,0,3201042,1940511,4371128,0,125278308,-1360602,132950549,0,0,0,131589947,FALSE,pine bush central,2.2645238773445207,1 - 5%,New York
Pine Eagle School District No. 61,NA,85074,2020,School District,471279,0,0,0,0,471279,0,0,0,0,0,102263,347199,0,3991603,679239,3761826,0,0,0,4441065,FALSE,pine eagleno,0.10611846482769335, Below 1%,Oregon
Pine Grove Area School District,NA,38125,2020,School District,49706958,5340000,5676105,0,0,0,32841000,0,5195410,0,654443,378158,6212938,0,21993913,4286853,24298156,0,0,0,28585009,FALSE,pine grove area,1.738916996667729,1 - 5%,Pennsylvania
Pine Island Public Schools,NA,167860,2020,School District,54375438,42356816,1884000,166058,200233,0,8865433,0,902898,0,0,1260986,3441906,265397,14283981,18065,19234205,0,0,0,19252270,FALSE,pine island,2.8243650229297637,1 - 5%,Minnesota
Pine Ridge Elementary School District,NA,146502,2020,School District,8292720,3300000,207594,0,0,2000000,2101505,0,678965,0,4656,32790,259753,0,2617127,-498040,3407710,0,0,0,2909670,FALSE,pine ridge elementary,2.8500551608945344,1 - 5%,California
Pine River Area Schools,NA,34600,2020,School District,31493164,6159504,1325705,0,0,142200,19467821,0,4242101,0,155833,200558,3068413,0,9326161,-698425,13293557,0,0,0,12595132,FALSE,pine river area schools,2.5004234969510444,1 - 5%,Michigan
Pine Tree Independent School District,NA,38967,2020,School District,89949061,52929614,5843245,0,0,2098453,12613717,0,16464032,0,0,968002,8956667,488656,46890338,1574914,55728749,0,0,0,57303663,FALSE,pine tree,1.5696912953016633,1 - 5%,Texas
Pine Valley Central School District,NA,36136,2020,School District,17631702,11191306,687070,0,0,0,1723728,659387,3678342,0,351256,196800,1020155,0,16352198,709029,16860124,0,0,0,17569153,FALSE,pine valley central,1.0035601602422155,1 - 5%,New York
Pine-Richland School District,NA,47391,2020,School District,253213306,104791960,13034439,0,3050557,7018118,113074000,0,5256744,0,1321558,1190382,13034609,1127173,77741066,4420101,88673129,0,0,0,93093230,FALSE,pine-richland,2.7199969965592556,1 - 5%,Pennsylvania
District School Board of Pinellas County,NA,69989,2020,School District,931076698,14000,85950164,3873480,0,0,608061187,0,52281715,0,94211770,17754031,37902684,10016909,1063647547,-35955310,1165276481,0,0,0,1129321171,FALSE,pinellas,0.8244569586661897, Below 1%,Florida
Piner-Olivet Union Elementary School District,NA,146503,2020,School District,33556871,14451713,3792823,0,0,0,14109507,0,1102120,0,100708,87544,1498804,0,18590300,810208,19366440,0,0,0,20176648,FALSE,piner-olivet union elementary,1.6631539094105225,1 - 5%,California
Pineville Independent School District,NA,167640,2020,School District,7743080,4250000,292420,225635,0,0,1518645,0,1430084,0,26299,20429,1452567,16496,5323977,31485,6781984,0,0,0,6813469,FALSE,pineville,1.1364372539157366,1 - 5%,Kentucky
Pinon Community School Board Inc,NA,281968,2020,School District,163849,0,147224,0,0,0,0,0,0,0,16625,52836,3973694,0,19698,587363,3458865,0,0,0,4046228,FALSE,pinon community school board inc,0.040494257861890134, Below 1%,Arizona
Pinon Unified School District No.4,NA,43388,2020,School District,12738823,0,690957,0,0,0,11891211,0,0,0,156655,667011,3220966,169391,16756150,468951,20344567,0,0,0,20813518,FALSE,pinon unifiedno,0.6120456426443622, Below 1%,Arizona
Pioneer Career and Technology Center,NA,84123,2020,School District,38707600,0,2727381,244282,0,0,22363372,0,2132786,1284066,1334779,1979179,2390215,15225,19044461,1883628,21545452,0,0,0,23429080,FALSE,pioneer career and technology center,1.6521177954917563,1 - 5%,Ohio
School District Pioneer Resa,NA,189242,2020,School District,0,0,0,149439,0,0,0,0,0,0,0,0,0,0,14312127,734961,13577166,0,0,0,14312127,FALSE,pioneer resa,0, Below 1%,Georgia
Pioneer Union Elementary School District,NA,146504,2020,School District,43282183,14406256,1420238,0,0,0,17024283,0,811384,0,30022,1496664,2296632,3281049,15666536,1874774,20866107,0,0,0,22740881,FALSE,pioneer union elementary,1.9032764385865262,1 - 5%,California
Pioneer-Pleasant Vale School District I-56,NA,147492,2020,School District,3576250,3110000,466250,0,0,0,0,0,0,0,0,0,0,0,8143930,126849,8017081,0,0,0,8143930,FALSE,pioneer-pleasant valei-,0.4391307390903409, Below 1%,Oklahoma
Pioneer School District C-131,NA,147490,2020,School District,0,240000,0,0,0,0,0,0,0,0,0,0,0,0,3004553,21044,2983509,0,0,0,3004553,FALSE,pioneerc-,0, Below 1%,Oklahoma
Pioneer School District No. 402,NA,39658,2020,School District,0,21800000,0,0,0,0,3539694,0,0,0,224475,0,0,0,14757132,224015,14533117,0,0,0,14757132,FALSE,pioneerno,0, Below 1%,Washington
Piqua City School District,NA,42792,2020,School District,86362031,24670033,3983318,5276,0,0,37793745,0,3364283,2246625,2423413,1717831,7687534,0,38403326,-1791981,49600672,0,0,0,47808691,FALSE,piqua city,1.806408608844781,1 - 5%,Ohio
Piscataway Township School District,NA,197043,2020,School District,55777961,10811709,6729929,0,0,0,31596744,0,0,0,2030848,9047670,7687943,3772,143597124,13904879,146431630,0,0,0,160336509,FALSE,piscataway township,0.34788060029422246, Below 1%,New Jersey
Pitt County Board of Education,NA,36634,2020,School District,373121303,0,0,473551,0,0,95411252,0,0,354844,13150711,986186,197647340,2708561,48788566,-2324139,252454792,0,0,0,250130653,FALSE,pitt,1.491705628737954,1 - 5%,North Carolina
Pittsburg Independent School District,NA,38864,2020,School District,35959132,19258856,1221862,0,0,145000,6548237,0,10055036,0,0,151986,6603198,0,23396177,1376035,28775326,0,0,0,30151361,FALSE,pittsburg,1.1926205254880535,1 - 5%,Texas
Pittsburg Unified School District,NA,146505,2020,School District,557183490,319225134,20696745,0,4144616,0,143839475,0,47705795,0,1035408,766064,24770111,0,147165472,-22605076,195306723,0,0,0,172701647,FALSE,pittsburg unified,3.2262778015081697,1 - 5%,California
School District of Pittsburgh,NA,37840,2020,School District,1674909456,316982386,49244296,4697048,0,10818824,1048791000,0,220572903,0,19330458,7518406,101295786,0,618879436,-41191158,768884786,0,0,0,727693628,FALSE,pittsburgh,2.301668437860775,1 - 5%,Pennsylvania
Pittsburgh-Mount Oliver Intermediate Unit 2,NA,37852,2020,School District,12304193,0,3461910,0,0,0,8327000,0,379000,1438225,136283,1269,17150771,0,20837,675729,16497148,0,0,0,17172877,FALSE,pittsburgh-mount oliver intermediate unit,0.7164899043998277, Below 1%,Pennsylvania
Pittsburg School District I-63,NA,147496,2020,School District,530117,102250,427867,0,0,0,0,0,0,0,0,0,0,0,1703773,-29670,1733443,0,0,0,1703773,FALSE,pittsburgi-,0.31114297503247207, Below 1%,Oklahoma
Pittsfield School District,NA,99106,2020,School District,8655433,0,848316,0,0,0,7238352,0,568765,0,0,43480,6488756,0,5070435,384150,11218521,0,0,0,11602671,FALSE,pittsfield,0.7459862474769818, Below 1%,New Hampshire
Pittsford Area Schools,NA,161822,2020,School District,12573236,450000,450000,0,0,403969,9181571,0,1927935,0,65000,35014,1121609,0,3568419,-399996,5125038,0,0,0,4725042,FALSE,pittsford area schools,2.6609786748985513,1 - 5%,Michigan
Pittsford Central School District,NA,36235,2020,School District,391503722,60210000,7815392,0,0,0,11561629,7028192,305296211,0,6189801,1873188,2411218,0,137059023,-11762822,153106251,0,0,0,141343429,FALSE,pittsford central,2.769875648057187,1 - 5%,New York
Pittsgrove Township School District,NA,168090,2020,School District,960034,0,960034,0,0,0,0,0,0,0,0,0,0,0,40969000,1129473,39839527,0,0,0,40969000,FALSE,pittsgrove township,0.02343318118577461, Below 1%,New Jersey
Pittston Area School District,NA,38064,2020,School District,118548883,21327495,7017352,0,0,0,67507000,0,21047982,0,1550710,405014,12509278,0,41839371,4699645,50054018,0,0,0,54753663,FALSE,pittston area,2.1651315456282805,1 - 5%,Pennsylvania
Piute County School District,NA,102427,2020,School District,7876265,5500000,658734,0,0,83336,1356216,0,214367,0,63612,235454,2069878,395951,4088644,869383,5920544,0,0,0,6789927,FALSE,piute,1.1599925890219438,1 - 5%,Utah
Pixley Union Elementary School District,NA,98925,2020,School District,26713647,7796941,1571177,0,0,0,14324838,0,1758211,0,42480,48833,3183384,371808,12170199,-836769,16610993,0,0,0,15774224,FALSE,pixley union elementary,1.6934999147977106,1 - 5%,California
Placentia-Yorba Linda Unified School District,NA,146507,2020,School District,769123429,302166968,21670498,0,0,0,280314281,0,54611063,0,3481085,8583040,49270943,78148,270766302,-6162561,334860994,0,0,0,328698433,FALSE,placentia-yorba linda unified,2.339905980020294,1 - 5%,California
Placer County Office of Education,NA,31703,2020,School District,101757245,0,44246174,0,0,0,52980000,0,3710433,0,380838,13558434,68926007,0,41575818,1461831,122598428,0,0,0,124060259,FALSE,placer  office of education,0.8202243475890212, Below 1%,California
Placer Hills Union Elementary School District,NA,146508,2020,School District,10504842,0,923003,0,454599,0,7819000,0,1251395,0,56845,354144,1191946,0,7373287,-301055,9220432,0,0,0,8919377,FALSE,placer hills union elementary,1.177755127964655,1 - 5%,California
Placer Union High School District,NA,146509,2020,School District,188061584,87514507,11512260,10833,36665734,0,51033000,0,864925,0,460325,2803031,10052889,0,50422735,-1473105,64751760,0,0,0,63278655,FALSE,placer union high,2.971959249133851,1 - 5%,California
Placerville Union School District,NA,91072,2020,School District,21400239,4938328,896597,0,1031987,0,14165302,0,353463,0,14562,146179,2268371,0,13437013,-398267,16249830,0,0,0,15851563,FALSE,placerville union,1.3500396774753378,1 - 5%,California
Plain Local School District,NA,37261,2020,School District,115510947,36457990,6809278,0,0,0,61515060,0,7034621,3301738,3693998,3884035,11030744,27632,58653693,-196938,73793042,0,0,0,73596104,FALSE,plain local,1.5695252971543168,1 - 5%,Ohio
Plainedge Union Free School District,NA,36273,2020,School District,146192113,5138265,7306949,0,0,0,6231948,6026756,117729920,0,3826514,2547180,1637181,0,89946099,-1516263,95646723,0,0,0,94130460,FALSE,plainedge union free,1.5530797682280528,1 - 5%,New York
Plainfield Board of Education,NA,35887,2020,School District,77437507,14517327,9850732,3237524,0,0,43323419,0,0,0,2711426,916699,82265651,1870697,153338375,2627148,235764274,0,0,0,238391422,FALSE,plainfield,0.3248334455591275, Below 1%,New Jersey
Plainfield Community Consolidated School District 202,NA,45341,2020,School District,433690092,182718687,33773691,24987124,7835000,0,23572752,0,160452553,0,350285,8387203,93263201,847105,293773327,24356625,371914211,0,0,0,396270836,FALSE,plainfield community consolidated,1.0944284882978368,1 - 5%,Illinois
Plainfield Community School Corporation,NA,43453,2020,School District,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80070667,-154126,80224793,0,0,0,80070667,FALSE,plainfield community school corporation,0, Below 1%,Indiana
Plains Independent School District,NA,163854,2020,School District,32243991,28015970,553025,0,0,0,1596971,0,2078025,0,0,84469,1187187,0,20904921,6068076,16108501,0,0,0,22176577,FALSE,plains,1.4539660922422788,1 - 5%,Texas
Plainsburg Elementary School District,NA,146511,2020,School District,1439607,0,182927,0,0,0,1256680,0,0,0,0,9129,111781,0,1148040,-15519,1284469,0,0,0,1268950,FALSE,plainsburg elementary,1.1344867804089995,1 - 5%,California
Plainview Independent School District,NA,38975,2020,School District,117866976,78372426,7908207,330151,0,0,13158244,0,18097948,0,0,1485460,12835806,0,49864455,751943,63433778,0,0,0,64185721,FALSE,plainview,1.8363426345245852,1 - 5%,Texas
Plainview Public Schools District No. 5,NA,109427,2020,School District,0,0,0,430000,0,0,0,0,0,0,0,71094,612795,0,5480179,-74238,6238306,0,0,0,6164068,FALSE,plainview  district no,0, Below 1%,Nebraska
Plainview-Old Bethpage Central School District,NA,36274,2020,School District,243637362,42195000,13905681,0,0,6000000,11588224,10074142,161187523,0,8760934,1707583,2298020,68479,152762524,-11437109,168273715,0,0,0,156836606,FALSE,plainview-old bethpage central,1.5534470441167287,1 - 5%,New York
Plainview School District I-27,NA,147498,2020,School District,18476303,4120000,550569,13805734,0,0,0,0,0,0,0,0,0,0,15193579,-51728,15245307,0,0,0,15193579,FALSE,plainviewi-,1.2160599553271814,1 - 5%,Oklahoma
Plainwell Community Schools,NA,34334,2020,School District,121508816,55983664,4854591,0,1000,0,49376036,0,10764789,0,528736,891828,6422779,0,26479935,-1912462,35707004,0,0,0,33794542,FALSE,plainwell community schools,3.595515985983772,1 - 5%,Michigan
Planada School District,NA,31285,2020,School District,19065826,5432144,1041303,175360,0,0,10730285,0,1559063,0,127671,105497,2344212,217372,9983167,-748333,13398581,0,0,0,12650248,FALSE,planada,1.5071503736527536,1 - 5%,California
Plano Independent School District,NA,38877,2020,School District,1471969476,823578740,271048351,0,0,0,174271009,0,198353587,0,3766513,20959370,116590537,0,791850518,57232413,872168012,7383507,0,0,929400425,FALSE,plano,1.5837839497437285,1 - 5%,Texas
Plaquemines Parish School Board,NA,33846,2020,School District,152353300,0,10095403,0,0,0,70857403,0,69820945,0,1579549,145438,6377673,3166915,54574716,-9143070,73407812,0,0,0,64264742,FALSE,plaquemines parish school board,2.3707136333014454,1 - 5%,Louisiana
Plato R-V School District,NA,99096,2020,School District,0,0,0,708556,0,0,0,0,0,0,111023,232852,1063730,0,4139018,202763,5232837,0,0,0,5435600,FALSE,plato r-v,0, Below 1%,Missouri
Platte County School District 2,NA,169322,2020,School District,4726313,0,438453,5329,0,0,4159570,0,0,0,122961,35759,929771,0,6050633,71863,6944300,0,0,0,7016163,FALSE,platte,0.6736321547831771, Below 1%,Wyoming
Platte County R-III School District,NA,35292,2020,School District,0,64545000,0,451399,0,49415,0,0,0,0,0,3185554,3772025,145304,53311574,5350760,55063697,0,0,0,60414457,FALSE,platte  r-iii,0, Below 1%,Missouri
Platte Canyon School District 1,NA,223941,2020,School District,20363792,2413937,599535,926103,0,0,15655850,0,569264,0,199103,243142,2445030,0,9420139,5747075,6361236,0,0,0,12108311,FALSE,platte canyon,1.6818028542544043,1 - 5%,Colorado
Platte County School District No. 67,NA,109215,2020,School District,0,1530000,0,0,0,0,1103032,0,0,0,0,65889,545938,42000,4485073,-5838,5144738,0,0,0,5138900,FALSE,platte no,0, Below 1%,Nebraska
Platte County School District No.1 Columbus Public Schools,NA,108922,2020,School District,0,53385000,0,1141958,0,0,13212270,0,0,0,0,741185,7047212,0,44461389,1912651,50337135,0,0,0,52249786,FALSE,platte no1 columbus,0, Below 1%,Nebraska
Platte County School District Number One,NA,169323,2020,School District,15435759,0,1481056,165982,0,0,13503632,0,0,0,285089,334409,1409159,342015,20359067,287113,22157537,0,0,0,22444650,FALSE,platte number one,0.6877255381572001, Below 1%,Wyoming
School District of Platteville,NA,153309,2020,School District,17018412,11655991,1513983,0,0,0,1867267,1921013,1747796,0,233375,1206996,2276142,0,18701748,2155288,20029598,0,0,0,22184886,FALSE,platteville,0.7671173969521412, Below 1%,Wisconsin
Plattsburgh City School District,NA,36152,2020,School District,205457721,13294030,2251163,0,0,0,2898723,2622495,186507821,0,505984,198566,2672621,0,44944928,-11976610,59792725,0,0,0,47816115,FALSE,plattsburgh city,4.296830074965312,1 - 5%,New York
Plaza Elementary School District,NA,146513,2020,School District,3179502,260000,182237,49999,0,0,1825153,0,862113,0,0,129339,218279,260546,2163561,284158,2487567,0,0,0,2771725,FALSE,plaza elementary,1.1471202951230732,1 - 5%,California
Pleasant Grove Independent School District,NA,38831,2020,School District,63000184,46881576,3763234,0,0,965000,4736361,0,6552456,0,101557,924939,3103253,0,23431774,556994,26902972,0,0,0,27459966,FALSE,pleasant grove,2.2942557175780918,1 - 5%,Texas
Pleasant Grove School District C-29 Pottawatomie,NA,147499,2020,School District,450843,150000,300843,0,0,0,0,0,0,0,0,0,0,0,2281934,-600343,2882277,0,0,0,2281934,FALSE,pleasant grovec-29 pottawatomie,0.19757056952567428, Below 1%,Oklahoma
Pleasant Hill R-III School District,NA,47241,2020,School District,0,16700000,0,0,0,0,0,0,0,0,0,1200233,1641682,115200,20706722,-4706297,28370134,0,0,0,23663837,FALSE,pleasant hill r-iii,0, Below 1%,Missouri
Pleasant Hill School District No. 1,NA,86115,2020,School District,26465377,14646320,729781,0,0,0,10473553,0,349721,83411,8025,472547,1293168,0,12023657,-48374,13837746,0,0,0,13789372,FALSE,pleasant hillno,1.919259049650702,1 - 5%,Oregon
Pleasant Hope R-VI School District,NA,45452,2020,School District,0,1385000,0,32899,0,0,6286908,0,0,0,0,479375,2041469,0,6281814,-21034,8823692,0,0,0,8802658,FALSE,pleasant hope r-vi,0, Below 1%,Missouri
Pleasant Local School District,NA,46491,2020,School District,51375835,34865489,1716604,53808,0,0,12888219,0,1202673,754329,649042,3230000,1600105,0,12789175,444150,17175130,0,0,0,17619280,FALSE,pleasant local,2.915887312080857,1 - 5%,Ohio
Pleasant Point Passamaquoddy School Committee of Maine Indian Education,NA,33932,2020,School District,2039862,0,1844149,0,0,127601,0,0,0,0,68112,0,4208194,13809671,2475859,14392175,6101549,0,0,0,20493724,FALSE,pleasant point passamaquoddy school committee of maine indian education,0.09953593597727772, Below 1%,Maine
Pleasant Ridge Union Elementary School District,NA,146515,2020,School District,14079671,0,893622,1518997,0,0,11301530,0,0,0,97155,256409,1444306,0,12233839,99625,13834929,0,0,0,13934554,FALSE,pleasant ridge union elementary,1.0104141833315943,1 - 5%,California
Pleasant Valley School District,NA,38085,2020,School District,195377794,10587950,14410431,0,0,0,140058275,0,26336314,0,1318716,688429,22255579,0,79228057,1023185,101148880,484588,999554,0,102172065,FALSE,pleasant valley,1.912242783778521,1 - 5%,Pennsylvania
Pleasant Valley School District,NA,31906,2020,School District,151138468,63392352,7464932,0,0,0,70424819,0,9437455,0,418910,2047825,12461161,0,67951695,-1534937,83995618,0,0,0,82460681,FALSE,pleasant valley,1.8328549578677382,1 - 5%,California
Pleasant Valley Community School District,NA,33425,2020,School District,89775435,49618441,10148357,175750,0,0,23477096,0,4657520,0,1045642,4438758,7844369,0,54191136,2157647,64316616,0,0,0,66474263,FALSE,pleasant valley community,1.3505292266271534,1 - 5%,Iowa
Pleasant Valley School District No. 62,NA,48477,2020,School District,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7756790,-135820,7892610,0,0,0,7756790,FALSE,pleasant valleyno,0, Below 1%,Illinois
Pleasant View School District,NA,31529,2020,School District,12219312,875295,514408,0,0,0,5718943,0,1197278,0,18388,3778,1746604,5911,5696075,-644090,8096458,0,0,0,7452368,FALSE,pleasant view,1.6396549392085844,1 - 5%,California
Pleasanton Independent School District,NA,38797,2020,School District,89306892,58140155,2665798,0,3050000,0,11470662,0,13980277,0,0,1233822,6472713,0,46264250,7183927,46786858,0,0,0,53970785,FALSE,pleasanton,1.6547265710513568,1 - 5%,Texas
Pleasanton Public Schools District No. 105,NA,108699,2020,School District,0,6570000,0,4680,0,0,0,0,0,0,0,60530,386378,0,3424907,-4572954,8444769,0,0,0,3871815,FALSE,pleasanton  district no,0, Below 1%,Nebraska
